AAAA;NOM_USUEL;TMM;TXAB;TXMIN;NBJTX25;RR;RRAB;TMM_ma5;ville
1947;STRASBOURG-ENTZHEIM;;37.4;-8.0;88.0;421.20000000000005;22.6;;strasbourg
1948;STRASBOURG-ENTZHEIM;;32.0;-6.2;34.0;682.9;46.1;;strasbourg
1949;STRASBOURG-ENTZHEIM;10.5;36.1;-2.3;72.0;392.6;19.0;;strasbourg
1950;STRASBOURG-ENTZHEIM;10.1;35.2;-4.8;57.0;664.6;27.9;;strasbourg
1951;STRASBOURG-ENTZHEIM;10.0;32.6;-2.6;40.0;642.0;26.1;;strasbourg
1952;STRASBOURG-ENTZHEIM;10.1;37.4;-4.8;59.0;662.6;26.2;;strasbourg
1953;STRASBOURG-ENTZHEIM;10.0;33.2;-3.8;47.0;542.6;53.3;10.1;strasbourg
1954;STRASBOURG-ENTZHEIM;9.4;33.5;-9.0;35.0;635.3;26.6;9.9;strasbourg
1955;STRASBOURG-ENTZHEIM;9.2;32.6;-2.2;43.0;562.1;36.2;9.7;strasbourg
1956;STRASBOURG-ENTZHEIM;8.4;30.2;-14.4;27.0;696.3;44.2;9.4;strasbourg
1957;STRASBOURG-ENTZHEIM;10.1;36.8;-4.0;37.0;490.5;15.6;9.4;strasbourg
1958;STRASBOURG-ENTZHEIM;10.0;32.6;-1.7;44.0;720.7;36.0;9.4;strasbourg
1959;STRASBOURG-ENTZHEIM;10.5;35.4;-2.0;69.0;507.2;29.1;9.6;strasbourg
1960;STRASBOURG-ENTZHEIM;10.0;30.4;-7.7;22.0;696.2;27.2;9.8;strasbourg
1961;STRASBOURG-ENTZHEIM;10.6;31.8;-6.4;42.0;520.0;25.5;10.2;strasbourg
1962;STRASBOURG-ENTZHEIM;6.8;34.4;-10.3;45.0;425.8;19.1;9.6;strasbourg
1963;STRASBOURG-ENTZHEIM;12.9;32.1;-9.0;37.0;493.0;22.6;10.2;strasbourg
1964;STRASBOURG-ENTZHEIM;7.6;36.0;-5.4;61.0;441.0;19.7;9.6;strasbourg
1965;STRASBOURG-ENTZHEIM;2.7;31.0;-1.6;24.0;669.8;23.3;8.1;strasbourg
1966;STRASBOURG-ENTZHEIM;7.1;33.0;-10.4;40.0;663.5;26.0;7.4;strasbourg
1967;STRASBOURG-ENTZHEIM;13.9;32.4;-6.0;51.0;589.6;25.5;8.8;strasbourg
1968;STRASBOURG-ENTZHEIM;10.5;33.2;-5.3;28.0;809.1;36.7;8.4;strasbourg
1969;STRASBOURG-ENTZHEIM;10.1;33.8;-7.0;51.0;599.7;27.2;8.9;strasbourg
1970;STRASBOURG-ENTZHEIM;7.3;33.6;-4.8;48.0;585.7;34.7;9.8;strasbourg
1971;STRASBOURG-ENTZHEIM;7.9;33.0;-7.8;54.0;397.3;28.6;9.9;strasbourg
1972;STRASBOURG-ENTZHEIM;9.8;32.2;-6.0;30.0;541.3;30.7;9.1;strasbourg
1973;STRASBOURG-ENTZHEIM;5.4;32.8;-6.4;58.0;491.09999999999997;26.7;8.1;strasbourg
1974;STRASBOURG-ENTZHEIM;18.6;37.0;0.5;43.0;574.4;24.4;9.8;strasbourg
1975;STRASBOURG-ENTZHEIM;4.9;33.2;-1.8;45.0;590.5;55.7;9.3;strasbourg
1976;STRASBOURG-ENTZHEIM;4.6;35.0;-7.5;71.0;471.9;26.3;8.7;strasbourg
1977;STRASBOURG-ENTZHEIM;6.5;31.7;-2.8;34.0;684.5;21.6;8.0;strasbourg
1978;STRASBOURG-ENTZHEIM;4.7;32.7;-5.1;32.0;678.7;62.9;7.9;strasbourg
1979;STRASBOURG-ENTZHEIM;4.7;31.9;-7.8;46.0;634.1;32.3;5.1;strasbourg
1980;STRASBOURG-ENTZHEIM;2.9;32.2;-4.4;33.0;578.9;48.4;4.7;strasbourg
1981;STRASBOURG-ENTZHEIM;10.1;31.7;-4.8;39.0;682.9;42.2;5.8;strasbourg
1982;STRASBOURG-ENTZHEIM;10.4;32.7;-8.3;61.0;765.1;37.8;6.6;strasbourg
1983;STRASBOURG-ENTZHEIM;10.6;35.3;-3.7;69.0;671.2;39.5;7.7;strasbourg
1984;STRASBOURG-ENTZHEIM;9.6;35.2;0.0;39.0;650.6;38.7;8.7;strasbourg
1985;STRASBOURG-ENTZHEIM;9.2;35.1;-11.2;50.0;574.6;30.4;10.0;strasbourg
1986;STRASBOURG-ENTZHEIM;9.5;35.9;-9.9;53.0;771.3;56.6;9.9;strasbourg
1987;STRASBOURG-ENTZHEIM;9.4;31.6;-11.9;41.0;811.1;35.2;9.7;strasbourg
1988;STRASBOURG-ENTZHEIM;10.8;33.7;-3.4;45.0;733.9;31.4;9.7;strasbourg
